group	word	audiofile	totalviols	backviols	nasalviols	
A	neni	neni.mp3	0	0	0	
A	neme	neme.mp3	0	0	0	
A	monu	monu.mp3	0	0	0	
A	momo	momo.mp3	0	0	0	
A	munu	munu.mp3	0	0	0	
A	mumo	mumo.mp3	0	0	0	
A	mine	mine.mp3	0	0	0	
A	mimi	mimi.mp3	0	0	0	
A	mene	mene.mp3	0	0	0	
A	memi	memi.mp3	0	0	0	
A	popo	popo.mp3	0	0	0	
A	potu	potu.mp3	0	0	0	
A	pupo	pupo.mp3	0	0	0	
A	putu	putu.mp3	0	0	0	
A	pipi	pipi.mp3	0	0	0	
A	pite	pite.mp3	0	0	0	
A	pepi	pepi.mp3	0	0	0	
A	pete	pete.mp3	0	0	0	
A	topu	topu.mp3	0	0	0	
A	toto	toto.mp3	0	0	0	
A	tupu	tupu.mp3	0	0	0	
A	tuto	tuto.mp3	0	0	0	
A	tipe	tipe.mp3	0	0	0	
A	titi	titi.mp3	0	0	0	
A	tepe	tepe.mp3	0	0	0	
A	teti	teti.mp3	0	0	0	
A	nono	nono.mp3	0	0	0	
A	nomu	nomu.mp3	0	0	0	
A	nuno	nuno.mp3	0	0	0	
A	numu	numu.mp3	0	0	0	
A	nini	nini.mp3	0	0	0	
A	nime	nime.mp3	0	0	0	
A	neni	neni.mp3	0	0	0	
A	neme	neme.mp3	0	0	0	
A	monu	monu.mp3	0	0	0	
A	momo	momo.mp3	0	0	0	
A	munu	munu.mp3	0	0	0	
A	mumo	mumo.mp3	0	0	0	
A	mine	mine.mp3	0	0	0	
A	mimi	mimi.mp3	0	0	0	
A	mene	mene.mp3	0	0	0	
A	memi	memi.mp3	0	0	0	
A	popo	popo.mp3	0	0	0	
A	potu	potu.mp3	0	0	0	
A	pupo	pupo.mp3	0	0	0	
A	putu	putu.mp3	0	0	0	
A	pipi	pipi.mp3	0	0	0	
A	pite	pite.mp3	0	0	0	
A	pepi	pepi.mp3	0	0	0	
A	pete	pete.mp3	0	0	0	
A	topu	topu.mp3	0	0	0	
A	toto	toto.mp3	0	0	0	
A	tupu	tupu.mp3	0	0	0	
A	tuto	tuto.mp3	0	0	0	
A	tipe	tipe.mp3	0	0	0	
A	titi	titi.mp3	0	0	0	
A	tepe	tepe.mp3	0	0	0	
A	teti	teti.mp3	0	0	0	
A	nono	nono.mp3	0	0	0	
A	nomu	nomu.mp3	0	0	0	
A	nuno	nuno.mp3	0	0	0	
A	numu	numu.mp3	0	0	0	
A	nini	nini.mp3	0	0	0	
A	nime	nime.mp3	0	0	0	
A	neni	neni.mp3	0	0	0	
A	neme	neme.mp3	0	0	0	
A	monu	monu.mp3	0	0	0	
A	momo	momo.mp3	0	0	0	
A	munu	munu.mp3	0	0	0	
A	mumo	mumo.mp3	0	0	0	
A	mine	mine.mp3	0	0	0	
A	mimi	mimi.mp3	0	0	0	
A	mene	mene.mp3	0	0	0	
A	memi	memi.mp3	0	0	0	
A	popo	popo.mp3	0	0	0	
A	potu	potu.mp3	0	0	0	
A	pupo	pupo.mp3	0	0	0	
A	putu	putu.mp3	0	0	0	
A	pipi	pipi.mp3	0	0	0	
A	pite	pite.mp3	0	0	0	
A	pepi	pepi.mp3	0	0	0	
A	pete	pete.mp3	0	0	0	
A	topu	topu.mp3	0	0	0	
A	toto	toto.mp3	0	0	0	
A	tupu	tupu.mp3	0	0	0	
A	tuto	tuto.mp3	0	0	0	
A	tipe	tipe.mp3	0	0	0	
A	titi	titi.mp3	0	0	0	
A	tepe	tepe.mp3	0	0	0	
A	teti	teti.mp3	0	0	0	
A	nono	nono.mp3	0	0	0	
A	nomu	nomu.mp3	0	0	0	
A	nuno	nuno.mp3	0	0	0	
A	numu	numu.mp3	0	0	0	
A	nini	nini.mp3	0	0	0	
A	nime	nime.mp3	0	0	0	
A	neni	neni.mp3	0	0	0	
A	neme	neme.mp3	0	0	0	
A	monu	monu.mp3	0	0	0	
A	momo	momo.mp3	0	0	0	
A	munu	munu.mp3	0	0	0	
A	mumo	mumo.mp3	0	0	0	
A	mine	mine.mp3	0	0	0	
A	mimi	mimi.mp3	0	0	0	
A	mene	mene.mp3	0	0	0	
A	memi	memi.mp3	0	0	0	
A	popo	popo.mp3	0	0	0	
A	potu	potu.mp3	0	0	0	
A	pupo	pupo.mp3	0	0	0	
A	putu	putu.mp3	0	0	0	
A	pipi	pipi.mp3	0	0	0	
A	pite	pite.mp3	0	0	0	
A	pepi	pepi.mp3	0	0	0	
A	pete	pete.mp3	0	0	0	
A	topu	topu.mp3	0	0	0	
A	toto	toto.mp3	0	0	0	
A	tupu	tupu.mp3	0	0	0	
A	tuto	tuto.mp3	0	0	0	
A	tipe	tipe.mp3	0	0	0	
A	titi	titi.mp3	0	0	0	
A	tepe	tepe.mp3	0	0	0	
A	teti	teti.mp3	0	0	0	
A	nono	nono.mp3	0	0	0	
A	nomu	nomu.mp3	0	0	0	
A	nuno	nuno.mp3	0	0	0	
A	numu	numu.mp3	0	0	0	
A	nini	nini.mp3	0	0	0	
A	nime	nime.mp3	0	0	0	
A	neni	neni.mp3	0	0	0	
A	neme	neme.mp3	0	0	0	
A	monu	monu.mp3	0	0	0	
A	momo	momo.mp3	0	0	0	
A	munu	munu.mp3	0	0	0	
A	mumo	mumo.mp3	0	0	0	
A	mine	mine.mp3	0	0	0	
A	mimi	mimi.mp3	0	0	0	
A	mene	mene.mp3	0	0	0	
A	memi	memi.mp3	0	0	0	
A	popo	popo.mp3	0	0	0	
A	potu	potu.mp3	0	0	0	
A	pupo	pupo.mp3	0	0	0	
A	putu	putu.mp3	0	0	0	
A	pipi	pipi.mp3	0	0	0	
A	pite	pite.mp3	0	0	0	
A	pepi	pepi.mp3	0	0	0	
A	pete	pete.mp3	0	0	0	
A	topu	topu.mp3	0	0	0	
A	toto	toto.mp3	0	0	0	
A	tupu	tupu.mp3	0	0	0	
A	tuto	tuto.mp3	0	0	0	
A	tipe	tipe.mp3	0	0	0	
A	titi	titi.mp3	0	0	0	
A	tepe	tepe.mp3	0	0	0	
A	teti	teti.mp3	0	0	0	
A	nono	nono.mp3	0	0	0	
A	nomu	nomu.mp3	0	0	0	
A	nuno	nuno.mp3	0	0	0	
A	numu	numu.mp3	0	0	0	
A	nini	nini.mp3	0	0	0	
A	nime	nime.mp3	0	0	0	
A	neni	neni.mp3	0	0	0	
A	neme	neme.mp3	0	0	0	
A	monu	monu.mp3	0	0	0	
A	momo	momo.mp3	0	0	0	
A	munu	munu.mp3	0	0	0	
A	mumo	mumo.mp3	0	0	0	
A	mine	mine.mp3	0	0	0	
A	mimi	mimi.mp3	0	0	0	
A	mene	mene.mp3	0	0	0	
A	memi	memi.mp3	0	0	0	
A	popo	popo.mp3	0	0	0	
A	potu	potu.mp3	0	0	0	
A	pupo	pupo.mp3	0	0	0	
A	putu	putu.mp3	0	0	0	
A	pipi	pipi.mp3	0	0	0	
A	pite	pite.mp3	0	0	0	
A	pepi	pepi.mp3	0	0	0	
A	pete	pete.mp3	0	0	0	
A	topu	topu.mp3	0	0	0	
A	toto	toto.mp3	0	0	0	
A	tupu	tupu.mp3	0	0	0	
A	tuto	tuto.mp3	0	0	0	
A	tipe	tipe.mp3	0	0	0	
A	titi	titi.mp3	0	0	0	
A	tepe	tepe.mp3	0	0	0	
A	teti	teti.mp3	0	0	0	
A	nono	nono.mp3	0	0	0	
A	nomu	nomu.mp3	0	0	0	
A	nuno	nuno.mp3	0	0	0	
A	numu	numu.mp3	0	0	0	
A	nini	nini.mp3	0	0	0	
A	nime	nime.mp3	0	0	0	
A	neni	neni.mp3	0	0	0	
A	neme	neme.mp3	0	0	0	
A	monu	monu.mp3	0	0	0	
A	momo	momo.mp3	0	0	0	
A	munu	munu.mp3	0	0	0	
A	mumo	mumo.mp3	0	0	0	
A	mine	mine.mp3	0	0	0	
A	mimi	mimi.mp3	0	0	0	
A	mene	mene.mp3	0	0	0	
A	memi	memi.mp3	0	0	0	
A	popo	popo.mp3	0	0	0	
A	potu	potu.mp3	0	0	0	
A	pupo	pupo.mp3	0	0	0	
A	putu	putu.mp3	0	0	0	
A	pipi	pipi.mp3	0	0	0	
A	pite	pite.mp3	0	0	0	
A	pepi	pepi.mp3	0	0	0	
A	pete	pete.mp3	0	0	0	
A	topu	topu.mp3	0	0	0	
A	toto	toto.mp3	0	0	0	
A	tupu	tupu.mp3	0	0	0	
A	tuto	tuto.mp3	0	0	0	
A	tipe	tipe.mp3	0	0	0	
A	titi	titi.mp3	0	0	0	
A	tepe	tepe.mp3	0	0	0	
A	teti	teti.mp3	0	0	0	
A	nono	nono.mp3	0	0	0	
A	nomu	nomu.mp3	0	0	0	
A	nuno	nuno.mp3	0	0	0	
A	numu	numu.mp3	0	0	0	
A	nini	nini.mp3	0	0	0	
A	nime	nime.mp3	0	0	0	
A	neni	neni.mp3	0	0	0	
A	neme	neme.mp3	0	0	0	
A	monu	monu.mp3	0	0	0	
A	momo	momo.mp3	0	0	0	
A	munu	munu.mp3	0	0	0	
A	mumo	mumo.mp3	0	0	0	
A	mine	mine.mp3	0	0	0	
A	mimi	mimi.mp3	0	0	0	
A	mene	mene.mp3	0	0	0	
A	memi	memi.mp3	0	0	0	
A	popo	popo.mp3	0	0	0	
A	potu	potu.mp3	0	0	0	
A	pupo	pupo.mp3	0	0	0	
A	putu	putu.mp3	0	0	0	
A	pipi	pipi.mp3	0	0	0	
A	pite	pite.mp3	0	0	0	
A	pepi	pepi.mp3	0	0	0	
A	pete	pete.mp3	0	0	0	
A	topu	topu.mp3	0	0	0	
A	toto	toto.mp3	0	0	0	
A	tupu	tupu.mp3	0	0	0	
A	tuto	tuto.mp3	0	0	0	
A	tipe	tipe.mp3	0	0	0	
A	titi	titi.mp3	0	0	0	
A	tepe	tepe.mp3	0	0	0	
A	teti	teti.mp3	0	0	0	
A	nono	nono.mp3	0	0	0	
A	nomu	nomu.mp3	0	0	0	
A	nuno	nuno.mp3	0	0	0	
A	numu	numu.mp3	0	0	0	
A	nini	nini.mp3	0	0	0	
A	nime	nime.mp3	0	0	0	
A	neni	neni.mp3	0	0	0	
A	neme	neme.mp3	0	0	0	
A	monu	monu.mp3	0	0	0	
A	momo	momo.mp3	0	0	0	
A	munu	munu.mp3	0	0	0	
A	mumo	mumo.mp3	0	0	0	
A	mine	mine.mp3	0	0	0	
A	mimi	mimi.mp3	0	0	0	
A	mene	mene.mp3	0	0	0	
A	memi	memi.mp3	0	0	0	
A	popo	popo.mp3	0	0	0	
A	potu	potu.mp3	0	0	0	
A	pupo	pupo.mp3	0	0	0	
A	putu	putu.mp3	0	0	0	
A	pipi	pipi.mp3	0	0	0	
A	pite	pite.mp3	0	0	0	
A	pepi	pepi.mp3	0	0	0	
A	pete	pete.mp3	0	0	0	
A	topu	topu.mp3	0	0	0	
A	toto	toto.mp3	0	0	0	
A	tupu	tupu.mp3	0	0	0	
A	tuto	tuto.mp3	0	0	0	
A	tipe	tipe.mp3	0	0	0	
A	titi	titi.mp3	0	0	0	
A	tepe	tepe.mp3	0	0	0	
A	teti	teti.mp3	0	0	0	
A	nono	nono.mp3	0	0	0	
A	nomu	nomu.mp3	0	0	0	
A	nuno	nuno.mp3	0	0	0	
A	numu	numu.mp3	0	0	0	
A	nini	nini.mp3	0	0	0	
A	nime	nime.mp3	0	0	0	
A	neni	neni.mp3	0	0	0	
A	neme	neme.mp3	0	0	0	
A	monu	monu.mp3	0	0	0	
A	momo	momo.mp3	0	0	0	
A	munu	munu.mp3	0	0	0	
A	mumo	mumo.mp3	0	0	0	
A	mine	mine.mp3	0	0	0	
A	mimi	mimi.mp3	0	0	0	
A	mene	mene.mp3	0	0	0	
A	memi	memi.mp3	0	0	0	
A	popo	popo.mp3	0	0	0	
A	potu	potu.mp3	0	0	0	
A	pupo	pupo.mp3	0	0	0	
A	putu	putu.mp3	0	0	0	
A	pipi	pipi.mp3	0	0	0	
A	pite	pite.mp3	0	0	0	
A	pepi	pepi.mp3	0	0	0	
A	pete	pete.mp3	0	0	0	
A	topu	topu.mp3	0	0	0	
A	toto	toto.mp3	0	0	0	
A	tupu	tupu.mp3	0	0	0	
A	tuto	tuto.mp3	0	0	0	
A	tipe	tipe.mp3	0	0	0	
A	titi	titi.mp3	0	0	0	
A	tepe	tepe.mp3	0	0	0	
A	teti	teti.mp3	0	0	0	
A	nono	nono.mp3	0	0	0	
A	nomu	nomu.mp3	0	0	0	
A	nuno	nuno.mp3	0	0	0	
A	numu	numu.mp3	0	0	0	
A	nini	nini.mp3	0	0	0	
A	nime	nime.mp3	0	0	0	
A	neni	neni.mp3	0	0	0	
A	neme	neme.mp3	0	0	0	
A	monu	monu.mp3	0	0	0	
A	momo	momo.mp3	0	0	0	
A	munu	munu.mp3	0	0	0	
A	mumo	mumo.mp3	0	0	0	
A	mine	mine.mp3	0	0	0	
A	mimi	mimi.mp3	0	0	0	
A	mene	mene.mp3	0	0	0	
A	memi	memi.mp3	0	0	0	
A	popo	popo.mp3	0	0	0	
A	potu	potu.mp3	0	0	0	
A	pupo	pupo.mp3	0	0	0	
A	putu	putu.mp3	0	0	0	
A	pipi	pipi.mp3	0	0	0	
A	pite	pite.mp3	0	0	0	
A	pepi	pepi.mp3	0	0	0	
A	pete	pete.mp3	0	0	0	
A	topu	topu.mp3	0	0	0	
A	toto	toto.mp3	0	0	0	
A	tupu	tupu.mp3	0	0	0	
A	tuto	tuto.mp3	0	0	0	
A	tipe	tipe.mp3	0	0	0	
A	titi	titi.mp3	0	0	0	
A	tepe	tepe.mp3	0	0	0	
A	teti	teti.mp3	0	0	0	
A	nono	nono.mp3	0	0	0	
A	nomu	nomu.mp3	0	0	0	
A	nuno	nuno.mp3	0	0	0	
A	numu	numu.mp3	0	0	0	
A	nini	nini.mp3	0	0	0	
A	nime	nime.mp3	0	0	0	
A	neni	neni.mp3	0	0	0	
A	neme	neme.mp3	0	0	0	
A	monu	monu.mp3	0	0	0	
A	momo	momo.mp3	0	0	0	
A	munu	munu.mp3	0	0	0	
A	mumo	mumo.mp3	0	0	0	
A	mine	mine.mp3	0	0	0	
A	mimi	mimi.mp3	0	0	0	
A	mene	mene.mp3	0	0	0	
A	memi	memi.mp3	0	0	0	
A	popo	popo.mp3	0	0	0	
A	potu	potu.mp3	0	0	0	
A	pupo	pupo.mp3	0	0	0	
A	putu	putu.mp3	0	0	0	
A	pipi	pipi.mp3	0	0	0	
A	pite	pite.mp3	0	0	0	
A	pepi	pepi.mp3	0	0	0	
A	pete	pete.mp3	0	0	0	
A	topu	topu.mp3	0	0	0	
A	toto	toto.mp3	0	0	0	
A	tupu	tupu.mp3	0	0	0	
A	tuto	tuto.mp3	0	0	0	
A	tipe	tipe.mp3	0	0	0	
A	titi	titi.mp3	0	0	0	
A	tepe	tepe.mp3	0	0	0	
A	teti	teti.mp3	0	0	0	
A	nono	nono.mp3	0	0	0	
A	nomu	nomu.mp3	0	0	0	
A	nuno	nuno.mp3	0	0	0	
A	numu	numu.mp3	0	0	0	
A	nini	nini.mp3	0	0	0	
A	nime	nime.mp3	0	0	0	
A	neni	neni.mp3	0	0	0	
A	neme	neme.mp3	0	0	0	
A	monu	monu.mp3	0	0	0	
A	momo	momo.mp3	0	0	0	
A	munu	munu.mp3	0	0	0	
A	mumo	mumo.mp3	0	0	0	
A	mine	mine.mp3	0	0	0	
A	mimi	mimi.mp3	0	0	0	
A	mene	mene.mp3	0	0	0	
A	memi	memi.mp3	0	0	0	
A	popo	popo.mp3	0	0	0	
A	potu	potu.mp3	0	0	0	
A	pupo	pupo.mp3	0	0	0	
A	putu	putu.mp3	0	0	0	
A	pipi	pipi.mp3	0	0	0	
A	pite	pite.mp3	0	0	0	
A	pepi	pepi.mp3	0	0	0	
A	pete	pete.mp3	0	0	0	
A	topu	topu.mp3	0	0	0	
A	toto	toto.mp3	0	0	0	
A	tupu	tupu.mp3	0	0	0	
A	tuto	tuto.mp3	0	0	0	
A	tipe	tipe.mp3	0	0	0	
A	titi	titi.mp3	0	0	0	
A	tepe	tepe.mp3	0	0	0	
A	teti	teti.mp3	0	0	0	
A	nono	nono.mp3	0	0	0	
A	nomu	nomu.mp3	0	0	0	
A	nuno	nuno.mp3	0	0	0	
A	numu	numu.mp3	0	0	0	
A	nini	nini.mp3	0	0	0	
A	nime	nime.mp3	0	0	0	
A	neni	neni.mp3	0	0	0	
A	neme	neme.mp3	0	0	0	
A	monu	monu.mp3	0	0	0	
A	momo	momo.mp3	0	0	0	
A	munu	munu.mp3	0	0	0	
A	mumo	mumo.mp3	0	0	0	
A	mine	mine.mp3	0	0	0	
A	mimi	mimi.mp3	0	0	0	
A	mene	mene.mp3	0	0	0	
A	memi	memi.mp3	0	0	0	
A	popo	popo.mp3	0	0	0	
A	potu	potu.mp3	0	0	0	
A	pupo	pupo.mp3	0	0	0	
A	putu	putu.mp3	0	0	0	
A	pipi	pipi.mp3	0	0	0	
A	pite	pite.mp3	0	0	0	
A	pepi	pepi.mp3	0	0	0	
A	pete	pete.mp3	0	0	0	
A	topu	topu.mp3	0	0	0	
A	toto	toto.mp3	0	0	0	
A	tupu	tupu.mp3	0	0	0	
A	tuto	tuto.mp3	0	0	0	
A	tipe	tipe.mp3	0	0	0	
A	titi	titi.mp3	0	0	0	
A	tepe	tepe.mp3	0	0	0	
A	teti	teti.mp3	0	0	0	
A	nono	nono.mp3	0	0	0	
A	nomu	nomu.mp3	0	0	0	
A	nuno	nuno.mp3	0	0	0	
A	numu	numu.mp3	0	0	0	
A	nini	nini.mp3	0	0	0	
A	nime	nime.mp3	0	0	0	
A	neni	neni.mp3	0	0	0	
A	neme	neme.mp3	0	0	0	
A	monu	monu.mp3	0	0	0	
A	momo	momo.mp3	0	0	0	
A	munu	munu.mp3	0	0	0	
A	mumo	mumo.mp3	0	0	0	
A	mine	mine.mp3	0	0	0	
A	mimi	mimi.mp3	0	0	0	
A	mene	mene.mp3	0	0	0	
A	memi	memi.mp3	0	0	0	
A	popo	popo.mp3	0	0	0	
A	potu	potu.mp3	0	0	0	
A	pupo	pupo.mp3	0	0	0	
A	putu	putu.mp3	0	0	0	
A	pipi	pipi.mp3	0	0	0	
A	pite	pite.mp3	0	0	0	
A	pepi	pepi.mp3	0	0	0	
A	pete	pete.mp3	0	0	0	
A	topu	topu.mp3	0	0	0	
A	toto	toto.mp3	0	0	0	
A	tupu	tupu.mp3	0	0	0	
A	tuto	tuto.mp3	0	0	0	
A	tipe	tipe.mp3	0	0	0	
A	titi	titi.mp3	0	0	0	
A	tepe	tepe.mp3	0	0	0	
A	teti	teti.mp3	0	0	0	
A	nono	nono.mp3	0	0	0	
A	nomu	nomu.mp3	0	0	0	
A	nuno	nuno.mp3	0	0	0	
A	numu	numu.mp3	0	0	0	
A	nini	nini.mp3	0	0	0	
A	nime	nime.mp3	0	0	0	
A	neni	neni.mp3	0	0	0	
A	neme	neme.mp3	0	0	0	
A	monu	monu.mp3	0	0	0	
A	momo	momo.mp3	0	0	0	
A	munu	munu.mp3	0	0	0	
A	mumo	mumo.mp3	0	0	0	
A	mine	mine.mp3	0	0	0	
A	mimi	mimi.mp3	0	0	0	
A	mene	mene.mp3	0	0	0	
A	memi	memi.mp3	0	0	0	
A	popo	popo.mp3	0	0	0	
A	potu	potu.mp3	0	0	0	
A	pupo	pupo.mp3	0	0	0	
A	putu	putu.mp3	0	0	0	
A	pipi	pipi.mp3	0	0	0	
A	pite	pite.mp3	0	0	0	
A	pepi	pepi.mp3	0	0	0	
A	pete	pete.mp3	0	0	0	
A	topu	topu.mp3	0	0	0	
A	toto	toto.mp3	0	0	0	
A	tupu	tupu.mp3	0	0	0	
A	tuto	tuto.mp3	0	0	0	
A	tipe	tipe.mp3	0	0	0	
A	titi	titi.mp3	0	0	0	
A	tepe	tepe.mp3	0	0	0	
A	teti	teti.mp3	0	0	0	
A	nono	nono.mp3	0	0	0	
A	nomu	nomu.mp3	0	0	0	
A	nuno	nuno.mp3	0	0	0	
A	numu	numu.mp3	0	0	0	
A	nini	nini.mp3	0	0	0	
A	nime	nime.mp3	0	0	0	
A	neni	neni.mp3	0	0	0	
A	neme	neme.mp3	0	0	0	
A	monu	monu.mp3	0	0	0	
A	momo	momo.mp3	0	0	0	
A	munu	munu.mp3	0	0	0	
A	mumo	mumo.mp3	0	0	0	
A	mine	mine.mp3	0	0	0	
A	mimi	mimi.mp3	0	0	0	
A	mene	mene.mp3	0	0	0	
A	memi	memi.mp3	0	0	0	
A	popo	popo.mp3	0	0	0	
A	potu	potu.mp3	0	0	0	
A	pupo	pupo.mp3	0	0	0	
A	putu	putu.mp3	0	0	0	
A	pipi	pipi.mp3	0	0	0	
A	pite	pite.mp3	0	0	0	
A	pepi	pepi.mp3	0	0	0	
A	pete	pete.mp3	0	0	0	
A	topu	topu.mp3	0	0	0	
A	toto	toto.mp3	0	0	0	
A	tupu	tupu.mp3	0	0	0	
A	tuto	tuto.mp3	0	0	0	
A	tipe	tipe.mp3	0	0	0	
A	titi	titi.mp3	0	0	0	
A	tepe	tepe.mp3	0	0	0	
A	teti	teti.mp3	0	0	0	
A	nono	nono.mp3	0	0	0	
A	nomu	nomu.mp3	0	0	0	
A	nuno	nuno.mp3	0	0	0	
A	numu	numu.mp3	0	0	0	
A	nini	nini.mp3	0	0	0	
A	nime	nime.mp3	0	0	0	
A	neni	neni.mp3	0	0	0	
A	neme	neme.mp3	0	0	0	
A	monu	monu.mp3	0	0	0	
A	momo	momo.mp3	0	0	0	
A	munu	munu.mp3	0	0	0	
A	mumo	mumo.mp3	0	0	0	
A	mine	mine.mp3	0	0	0	
A	mimi	mimi.mp3	0	0	0	
A	mene	mene.mp3	0	0	0	
A	memi	memi.mp3	0	0	0	
B	popo	popo.mp3	0	0	0	
B	potu	potu.mp3	0	0	0	
B	putu	putu.mp3	0	0	0	
B	pipi	pipi.mp3	0	0	0	
B	pite	pite.mp3	0	0	0	
B	pepi	pepi.mp3	0	0	0	
B	topu	topu.mp3	0	0	0	
B	tupu	tupu.mp3	0	0	0	
B	tuto	tuto.mp3	0	0	0	
B	tipe	tipe.mp3	0	0	0	
B	titi	titi.mp3	0	0	0	
B	tepe	tepe.mp3	0	0	0	
B	teti	teti.mp3	0	0	0	
B	nono	nono.mp3	0	0	0	
B	nomu	nomu.mp3	0	0	0	
B	nuno	nuno.mp3	0	0	0	
B	numu	numu.mp3	0	0	0	
B	nime	nime.mp3	0	0	0	
B	neni	neni.mp3	0	0	0	
B	neme	neme.mp3	0	0	0	
B	monu	monu.mp3	0	0	0	
B	momo	momo.mp3	0	0	0	
B	munu	munu.mp3	0	0	0	
B	mumo	mumo.mp3	0	0	0	
B	mine	mine.mp3	0	0	0	
B	mimi	mimi.mp3	0	0	0	
B	mene	mene.mp3	0	0	0	
B	memi	memi.mp3	0	0	0	
B	peto	peto.mp3	1	1	0	
B	tote	tote.mp3	1	1	0	
B	pini	pini.mp3	1	0	1	
B	mupo	mupo.mp3	1	0	1	
B	popo	popo.mp3	0	0	0	
B	potu	potu.mp3	0	0	0	
B	putu	putu.mp3	0	0	0	
B	pipi	pipi.mp3	0	0	0	
B	pite	pite.mp3	0	0	0	
B	pepi	pepi.mp3	0	0	0	
B	topu	topu.mp3	0	0	0	
B	tupu	tupu.mp3	0	0	0	
B	tuto	tuto.mp3	0	0	0	
B	tipe	tipe.mp3	0	0	0	
B	titi	titi.mp3	0	0	0	
B	tepe	tepe.mp3	0	0	0	
B	teti	teti.mp3	0	0	0	
B	nono	nono.mp3	0	0	0	
B	nomu	nomu.mp3	0	0	0	
B	nuno	nuno.mp3	0	0	0	
B	numu	numu.mp3	0	0	0	
B	nime	nime.mp3	0	0	0	
B	neni	neni.mp3	0	0	0	
B	neme	neme.mp3	0	0	0	
B	monu	monu.mp3	0	0	0	
B	momo	momo.mp3	0	0	0	
B	munu	munu.mp3	0	0	0	
B	mumo	mumo.mp3	0	0	0	
B	mine	mine.mp3	0	0	0	
B	mimi	mimi.mp3	0	0	0	
B	mene	mene.mp3	0	0	0	
B	memi	memi.mp3	0	0	0	
B	peto	peto.mp3	1	1	0	
B	tote	tote.mp3	1	1	0	
B	pini	pini.mp3	1	0	1	
B	mupo	mupo.mp3	1	0	1	
B	popo	popo.mp3	0	0	0	
B	potu	potu.mp3	0	0	0	
B	putu	putu.mp3	0	0	0	
B	pipi	pipi.mp3	0	0	0	
B	pite	pite.mp3	0	0	0	
B	pepi	pepi.mp3	0	0	0	
B	topu	topu.mp3	0	0	0	
B	tupu	tupu.mp3	0	0	0	
B	tuto	tuto.mp3	0	0	0	
B	tipe	tipe.mp3	0	0	0	
B	titi	titi.mp3	0	0	0	
B	tepe	tepe.mp3	0	0	0	
B	teti	teti.mp3	0	0	0	
B	nono	nono.mp3	0	0	0	
B	nomu	nomu.mp3	0	0	0	
B	nuno	nuno.mp3	0	0	0	
B	numu	numu.mp3	0	0	0	
B	nime	nime.mp3	0	0	0	
B	neni	neni.mp3	0	0	0	
B	neme	neme.mp3	0	0	0	
B	monu	monu.mp3	0	0	0	
B	momo	momo.mp3	0	0	0	
B	munu	munu.mp3	0	0	0	
B	mumo	mumo.mp3	0	0	0	
B	mine	mine.mp3	0	0	0	
B	mimi	mimi.mp3	0	0	0	
B	mene	mene.mp3	0	0	0	
B	memi	memi.mp3	0	0	0	
B	peto	peto.mp3	1	1	0	
B	tote	tote.mp3	1	1	0	
B	pini	pini.mp3	1	0	1	
B	mupo	mupo.mp3	1	0	1	
B	popo	popo.mp3	0	0	0	
B	potu	potu.mp3	0	0	0	
B	putu	putu.mp3	0	0	0	
B	pipi	pipi.mp3	0	0	0	
